Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Aug  5 21:27:42 2023,-0.34,0.73,-0.65,-0.33,0.73,-0.67,-0.79,0.61,-0.009999999,-1.43,0.13,-0.11,-0.71,0.06,-0.11,-0.25,-0.71,-0.79,-0.3,-0.39,-0.95,-0.26,-0.35,-0.99,-0.24,-0.34,-1,-0.24,-0.34,-1,-0.24,-0.32,-1,-0.23,-0.32,-0.99,-0.24,-0.32,-1.01,-0.23,-0.3,-1.03
Sat Aug  5 21:28:15 2023,-0.51,0.74,-0.51,-0.5,0.73,-0.5,-0.86,0.59,-0.13,-0.9,0.17,0.42,-0.69,0.44,-0.45,-0.49,0.91,-0.31,-0.65,-1.16,1.15,-0.5,-0.9,-0.27,-0.37,-0.87,-0.39,-0.38,-0.86,-0.4,-0.37,-0.86,-0.43,-0.38,-0.87,-0.41,-0.37,-0.86,-0.43,-0.36,-0.86,-0.43
Sat Aug  5 21:29:38 2023,-0.21,0.55,-0.9,-0.24,0.57,-0.89,-0.25,0.26,-0.02,-0.85,-0.009999999,0.07,-0.89,0,-0.24,-0.79,0.11,-0.23,-1.14,0.22,-0.009999999,-0.5,0.36,-1.02,0.15,0.25,-0.91,0.12,0.009999999,-1.09,0.13,-0.1,-1.09,0.13,-0.11,-1.09,0.14,-0.12,-1.08,0.14,-0.11,-1.08
Sat Aug  5 22:17:54 2023,-0.9700001,-0.08,-0.19,-0.9700001,0.009999999,-0.2,-0.73,0,-0.23,-0.8,-0.02,0.09,-0.84,-0.54,0.63,-0.2,-0.41,-0.69,-0.3,-0.55,-0.88,-0.31,-0.5,-0.88,-0.31,-0.47,-0.9,-0.31,-0.49,-0.91,-0.33,-0.44,-0.92,-0.31,-0.43,-0.92,-0.31,-0.43,-0.92,-0.32,-0.44,-0.93
Sat Aug  5 22:18:21 2023,-0.46,0.8,-0.45,-0.46,0.79,-0.45,-0.28,0.65,-0.54,-1.31,-0.2,-0.02,-0.8,0.5,-0.44,-0.9,0.56,0.15,-0.9599999,0.11,0.11,-1.57,0.45,-0.14,-1.08,0.16,0.26,-1.17,-1.34,0.57,-0.63,-0.79,-0.29,-0.55,-0.77,-0.41,-0.54,-0.76,-0.43,-0.54,-0.74,-0.43
Sat Aug  5 22:20:03 2023,-0.93,-0.27,-0.16,-0.92,-0.27,-0.18,-0.99,0.09,-0.05,-0.75,0.23,-0.41,-0.9599999,0.15,-0.1,-0.95,0.13,-0.3,-1.36,-0.4,0.03,-0.48,-0.83,-0.24,-0.48,-0.82,-0.38,-0.45,-0.84,-0.35,-0.46,-0.83,-0.33,-0.46,-0.85,-0.32,-0.45,-0.84,-0.33,-0.47,-0.85,-0.33
Sat Aug  5 22:20:25 2023,-0.9599999,-0.24,-0.1,-0.94,-0.22,-0.11,-1.01,-0.27,-0.02,-0.94,-0.1,-0.11,-1.06,-0.21,0.03,-0.78,0.2,-0.47,-1.03,0.16,-0.11,-0.34,0.26,-0.12,-0.16,-0.74,-0.95,-0.1,-0.93,-0.3,-0.06,-0.98,-0.25,-0.07,-0.99,-0.21,-0.06,-0.99,-0.23,-0.06,-0.99,-0.21
Sat Aug  5 22:20:48 2023,-0.9599999,-0.19,-0.19,-0.95,-0.14,-0.17,-0.94,-0.17,-0.21,-0.84,0,-0.04,-1.14,0.29,-0.18,-0.84,0.1,-0.22,-0.84,0.16,-0.16,-0.76,0.29,0.19,-1.98,-1.98,-1.5,-0.36,-0.17,-1.03,-0.37,-0.1,-1.01,-0.37,-0.09,-1,-0.35,-0.1,-1,-0.38,-0.08,-1.01
Sat Aug  5 22:22:05 2023,-0.9599999,-0.14,-0.3,-0.94,-0.18,-0.25,-0.69,0.17,-0.31,-1.44,0.2,-0.14,-0.48,0.14,-0.25,-0.91,0.07,0.03,-0.95,0.03,-0.1,-1.98,1.27,1.04,-0.51,0.21,-0.94,-0.47,0.29,-0.9,-0.46,0.3,-0.89,-0.45,0.33,-0.89,-0.45,0.34,-0.9,-0.45,0.33,-0.91
Sat Aug  5 22:22:54 2023,-0.98,-0.05,-0.13,-0.98,-0.03,-0.15,-0.86,0.24,-0.14,-0.87,-0.08,-0.06,-0.63,0.08,0.13,-0.83,0.009999999,0.1,-0.77,-1.98,-1.29,-0.39,0.18,-1.02,-0.44,0.19,-0.95,-0.43,0.19,-0.95,-0.43,0.19,-0.95,-0.43,0.2,-0.95,-0.44,0.2,-0.95,-0.43,0.21,-0.9599999
Sat Aug  5 22:23:20 2023,-0.9599999,-0.13,-0.06,-0.95,-0.14,-0.04,-0.83,0.13,-0.32,-0.76,0.37,0.11,-0.58,0.62,0,-0.74,0.43,-0.23,-0.74,-1.98,-1.36,-0.36,0.25,-0.9599999,-0.31,0.22,-1.01,-0.3,0.23,-1.01,-0.29,0.22,-1.01,-0.28,0.22,-1.02,-0.28,0.22,-1.02,-0.3,0.23,-1
Sat Aug  5 22:24:10 2023,-0.9599999,-0.04,-0.19,-0.9700001,-0.04,-0.17,-1.26,-0.24,0.04,-1.07,0.13,0.06,-0.94,0.15,-0.03,-0.9,0.13,-0.06,-0.1,-0.92,-0.22,-0.08,-0.99,-0.25,-0.1,-0.9700001,-0.28,-0.12,-0.98,-0.27,-0.08,-1,-0.29,-0.1,-0.9700001,-0.32,-0.11,-0.98,-0.32,-0.12,-0.98,-0.33
Sat Aug  5 22:24:43 2023,-0.9599999,-0.15,-0.08,-0.95,-0.12,-0.05,-1.07,-0.16,-0.04,-1.05,1.1,0.06,-0.77,0.36,0.12,-1.1,0.43,0.28,-1.17,0.22,-0.21,-0.95,0.44,0.14,-0.4,0.17,-0.41,-0.86,0.22,-0.28,-0.64,-0.39,0.18,-0.18,-0.9,-0.51,0.08,-0.93,-0.2,0.1,-1,-0.18
Sat Aug  5 22:25:09 2023,-0.9700001,-0.09,-0.04,-0.95,-0.05,-0.06,-1.13,-0.47,-0.009999999,-1.02,0.3,-0.05,-1.04,0.18,0.1,-1.11,0.18,0.15,-1.12,0.33,0.22,-0.72,0.07,0.02,-0.36,-0.69,0.12,-0.6,0.03,-0.57,-0.53,0.28,-0.85,-0.53,0.27,-0.87,-0.52,0.28,-0.88,-0.52,0.28,-0.88
Sat Aug  5 22:25:50 2023,-0.9599999,-0.21,0.03,-0.9599999,-0.21,0,-1.1,0.17,0.13,-0.9700001,0.1,0.06,-0.88,0.07,0.04,-0.89,-0.009999999,-0.08,-1.33,0.04,0.16,-0.86,0.03,-0.52,-0.29,-0.04,-0.66,-0.4,0.18,-0.9700001,-0.33,0.14,-1.01,-0.33,0.14,-1,-0.32,0.16,-1.02,-0.32,0.16,-1.03
Sat Aug  5 22:26:20 2023,-1,-0.04,-0.11,-0.9,0.18,-0.33,-0.51,0.57,-0.17,-0.79,0.41,0.17,-0.88,0.22,-0.22,-0.58,0.77,0.03,-1.13,0.27,0.11,-1.03,0.22,-0.07,-0.99,0.17,0.04,-0.21,0.31,-0.36,-0.24,0.07,-1.06,-0.17,0.17,-1.09,-0.15,0.18,-1.06,-0.15,0.18,-1.06
Sat Aug  5 22:26:46 2023,-0.92,-0.17,-0.31,-1.59,0.39,0.65,-0.49,0.58,0.45,-1.18,0.61,0.11,-1.06,-0.15,-0.09,0.14,0.43,-0.31,-0.35,-0.43,-1.38,-0.49,-0.47,-0.82,-0.49,-0.46,-0.81,-0.48,-0.49,-0.8,-0.5,-0.48,-0.8,-0.49,-0.49,-0.8,-0.49,-0.48,-0.81,-0.49,-0.48,-0.8
Sat Aug  5 22:27:16 2023,-0.93,-0.21,0.04,-0.88,0.12,-0.1,-1.09,0.46,0.17,-0.76,0.12,-0.05,-1.02,0,-0.53,-0.82,-0.03,-0.66,-0.77,-0.06,-0.69,-0.76,-0.07,-0.69,-0.77,-0.05,-0.68,-0.76,-0.07,-0.7,-0.76,-0.07,-0.68,-0.76,-0.06,-0.7,-0.76,-0.06,-0.66,-0.99,0.05,-0.17
Sat Aug  5 22:28:00 2023,-0.98,-0.09,-0.08,-0.9700001,-0.12,-0.12,-0.9599999,-0.05,-0.11,-1.07,-0.15,0.29,-0.9700001,-0.04,0.009999999,-1,0.26,-0.11,-1.06,-0.05,0.28,-0.11,0.91,-0.55,-0.1,0.88,-0.55,-0.11,0.88,-0.55,-0.11,0.88,-0.55,-0.1,0.87,-0.55,-0.1,0.88,-0.55,-0.1,0.9,-0.55
Sat Aug  5 22:28:22 2023,-0.9700001,-0.18,-0.12,-0.9599999,-0.19,-0.15,-0.8,-0.18,-0.02,-0.78,0.06,0,-0.77,0.26,-0.2,-0.86,0,0.03,-0.81,0.39,0.02,-1.04,0.15,0.05,1.01,0.33,-0.89,0,1.1,-0.33,0.03,0.95,-0.35,0.009999999,1.03,-0.18,0.009999999,1,-0.12,0.02,1,-0.12
Sat Aug  5 22:31:02 2023,-0.9700001,-0.02,-0.02,-0.9700001,-0.03,0.02,-0.88,0.23,0.18,-1.22,0.53,-0.7,-0.89,-0.31,-0.12,-1.33,-0.24,-0.18,-0.86,0.29,0.26,-0.37,0.42,0.48,-0.36,0.5,-0.84,-0.03,-0.86,-0.59,-0.06,-0.88,-0.58,-0.04,-0.88,-0.57,-0.04,-0.87,-0.59,-0.04,-0.88,-0.57
